s1,start,2014-12-29 22:57:49
s1,end,2014-12-30 07:30:13
s1,quality,100%
s1,time_in_bed,8:32
s1,feeling,:)
s1,heart_rate,59
s1,steps,0
s2,start,2014-12-30 21:17:50
s2,end,2014-12-30 21:33:54
s2,quality,3%
s2,time_in_bed,0:16
s2,feeling,:|
s2,notes,Stressful day
s2,heart_rate,72
s2,steps,0
s3,start,2014-12-30 22:42:49
s3,end,2014-12-31 07:13:31
s3,quality,98%
s3,time_in_bed,8:30
s3,feeling,:|
s3,heart_rate,57
s3,steps,0
s4,start,2014-12-31 22:31:01
s4,end,2015-01-01 06:03:01
s4,quality,65%
s4,time_in_bed,7:32
s4,steps,0
s5,start,2015-01-01 22:12:10
s5,end,2015-01-02 04:56:35
s5,quality,72%
s5,time_in_bed,6:44
s5,feeling,:)
s5,notes,Drank coffee:Drank tea
s5,heart_rate,68
s5,steps,0
s6,start,2015-01-03 00:34:57
s6,end,2015-01-03 07:47:23
s6,quality,83%
s6,time_in_bed,7:12
s6,feeling,:)
s6,notes,Drank coffee:Drank tea
s6,heart_rate,60
s6,steps,0
s7,start,2015-01-04 00:23:06
s7,end,2015-01-04 07:37:09
s7,quality,78%
s7,time_in_bed,7:14
s7,notes,Drank tea
s7,steps,0
s8,start,2015-01-04 21:34:44
s8,end,2015-01-05 04:53:34
s8,quality,78%
s8,time_in_bed,7:18
s8,feeling,:)
s8,notes,Ate late:Drank coffee
s8,heart_rate,57
s8,steps,0
s9,start,2015-01-05 21:32:25
s9,end,2015-01-06 05:00:03
s9,quality,69%
s9,time_in_bed,7:27
s9,feeling,:)
s9,notes,Drank coffee:Drank tea:Worked out
s9,heart_rate,56
s9,steps,0
s10,start,2015-01-06 21:24:56
s10,end,2015-01-07 05:00:02
s10,quality,74%
s10,time_in_bed,7:35
s10,feeling,:|
s10,notes,Drank tea:Worked out
s10,heart_rate,64
s10,steps,0
s11,start,2015-01-07 20:59:58
s11,end,2015-01-08 06:19:20
s11,quality,81%
s11,time_in_bed,9:19
s11,feeling,:)
s11,notes,Drank coffee:Drank tea:Stressful day
s11,heart_rate,62
s11,steps,0
s12,start,2015-01-08 22:58:18
s12,end,2015-01-09 06:14:58
s12,quality,88%
s12,time_in_bed,7:16
s12,feeling,:)
s12,notes,Drank coffee:Drank tea
s12,heart_rate,58
s12,steps,0
s13,start,2015-01-09 22:27:58
s13,end,2015-01-10 07:29:00
s13,quality,77%
s13,time_in_bed,9:01
s13,feeling,:|
s13,notes,Drank coffee:Drank tea
s13,heart_rate,65
s13,steps,0
s14,start,2015-01-10 22:38:24
s14,end,2015-01-11 07:28:59
s14,quality,89%
s14,time_in_bed,8:50
s14,feeling,:|
s14,notes,Drank coffee:Drank tea
s14,heart_rate,65
s14,steps,0
s15,start,2015-01-11 22:12:07
s15,end,2015-01-12 06:20:29
s15,quality,78%
s15,time_in_bed,8:08
s15,feeling,:)
s15,notes,Drank tea
s15,heart_rate,53
s15,steps,0
s16,start,2015-01-12 21:01:46
s16,end,2015-01-13 06:13:23
s16,quality,100%
s16,time_in_bed,9:11
s16,feeling,:)
s16,notes,Drank tea:Worked out
s16,heart_rate,65
s16,steps,0
s17,start,2015-01-13 22:14:29
s17,end,2015-01-14 06:20:33
s17,quality,100%
s17,time_in_bed,8:06
s17,feeling,:)
s17,notes,Drank coffee:Drank tea
s17,heart_rate,55
s17,steps,0
s18,start,2015-01-14 21:48:26
s18,end,2015-01-15 05:02:05
s18,quality,88%
s18,time_in_bed,7:13
s18,feeling,:)
s18,notes,Drank coffee:Drank tea:Worked out
s18,heart_rate,60
s18,steps,0
s19,start,2015-01-15 21:32:07
s19,end,2015-01-16 04:54:42
s19,quality,87%
s19,time_in_bed,7:22
s19,feeling,:)
s19,notes,Drank tea
s19,heart_rate,60
s19,steps,0
s20,start,2015-01-17 02:11:57
s20,end,2015-01-17 09:03:37
s20,quality,83%
s20,time_in_bed,6:51
s20,feeling,:)
s20,notes,Drank coffee:Drank tea
s20,heart_rate,94
s20,steps,0
s21,start,2015-01-17 23:55:16
s21,end,2015-01-18 07:47:15
s21,quality,93%
s21,time_in_bed,7:51
s21,feeling,:)
s21,notes,Drank coffee:Drank tea
s21,heart_rate,57
s21,steps,0
s22,start,2015-01-18 21:51:53
s22,end,2015-01-19 05:04:18
s22,quality,58%
s22,time_in_bed,7:12
s22,feeling,:)
s22,notes,Drank coffee
s22,heart_rate,67
s22,steps,0
s23,start,2015-01-19 05:06:38
s23,end,2015-01-19 06:20:29
s23,quality,16%
s23,time_in_bed,1:13
s23,feeling,:)
s23,heart_rate,58
s23,steps,0
s24,start,2015-01-19 21:45:19
s24,end,2015-01-20 05:45:37
s24,quality,75%
s24,time_in_bed,8:00
s24,feeling,:|
s24,notes,Drank coffee:Drank tea:Worked out
s24,heart_rate,54
s24,steps,0
s25,start,2015-01-20 21:42:37
s25,end,2015-01-21 05:45:22
s25,quality,80%
s25,time_in_bed,8:02
s25,feeling,:|
s25,notes,Drank coffee:Drank tea:Worked out
s25,heart_rate,60
s25,steps,0
s26,start,2015-01-21 22:34:35
s26,end,2015-01-22 06:17:22
s26,quality,87%
s26,time_in_bed,7:42
s26,feeling,:)
s26,notes,Drank coffee:Drank tea:Worked out
s26,heart_rate,75
s26,steps,0
s27,start,2015-01-25 20:55:02
s27,end,2015-01-26 06:14:59
s27,quality,87%
